DATE,Address,Leese's Date,Title,Note
21.04.2010 Edged and numbered 4 in blue (part of),Flat 1304 Landmark West Tower (thirteenth floor flat),15.02.2010 999 years from 1.1.2009,EGL570612,
21.04.2010 Edged and numbered 4 in blue (part of),Flat 1004 Landmark West Tower (tenth floor flat),18.02.2010 999 years from 1.1.2009,EGL570624,
20.04.2010 Edged and numbered 4 in blue (part of),Flat 1810 Landmark West Tower (eighteenth floor flat),25.02.2010 999 years from 1.1.2009,EGL570549,
21.04.2010 Edged and numbered 4 in blue (part of),Flat 1304 Landmark West Tower (thirteenth floor flat),15.02.2010 999 years from 1.1.2009,EGL570612,
21.04.2010 Edged and numbered 4 in blue (part of),Flat 1004 Landmark West Tower (tenth floor flat),18.02.2010 999 years from 1.1.2009,EGL570624,
22.04.2010 Edged and numbered 4 in blue (part of),Flat 2606 Landmark West Tower (twenty sixth floor flat),12.03.2010 999 years from 1.1.2009,EGL570686,
22.04.2010 Edged and numbered 31 in blue on supplementary plan 1,Parking space 7 Landmark West Tower (basement level),12.03.2010 999 years from 1.1.2009,EGL570704,
26.04.2010 Edged and numbered 4 in blue (part of),Flat 1111 Landmark West Tower (eleventh floor flat),24.12.2009 999 years from 1.1.2009,EGL570805,
28.04.2010 Edged and numbered 4 in blue (part of),Flat 2803 Landmark West Tower (twenty eighth floor flat),18.03.2010 999 years from 1.1.2009,EGL570889,
28.04.2010 Edged and numbered 4 in blue (part of),Flat 907 Landmark West Tower (ninth floor flat),14.04.2010 999 years from 1.1.2009,EGL570911,
29.04.2010 Edged and numbered 4 in blue (part of),Flat 310 Landmark West Tower (third floor flat),09.04.2010 999 years from 1.1.2009,EGL570959,
04.05.2010 Edged and numbered 4 in blue (part of),Flat 304 Landmark West Tower (third floor flat),09.04.2010 999 years from 1.1.2009,EGL571058,
04.05.2010 Edged and numbered 4 in blue (part of),Flat 302 Landmark West Tower (third floor flat),21.04.2010 999 years from 1.1.2009,EGL571092,
04.05.2010 Edged and numbered 4 in blue (part of),Flat 408 Landmark West Tower (fourth floor flat),29.04.2010 999 years from 1.1.2009,EGL571098,
04.05.2010 Edged and numbered 32 in blue on supplementary plan 1,Parking space 69 Landmark West Tower  (basement level),29.04.2010 999 years from 1.1.2009,EGL571099,
07.05.2010 Edged and numbered 4 in blue (part of),Flat 1604 Landmark West Tower (sixteenth floor flat),12.02.2010 999 years from 1.1.2009,EGL571216,
07.05.2010 Edged and numbered 33 in blue on supplementary plan 1,Parking space 82 Landmark West Tower (basement level),12.02.2010 999 years from 1.1.2009,EGL571235,
10.05.2010 Edged and numbered 4 in blue (part of),Flat 307 Landmark West Tower (third floor flat),23.04.2010 999 years from 1.1.2009,EGL571302,
13.05.2010 Edged and numbered 4 in blue (part of),Flat 3001 Landmark West Tower (thirtieth floor flat),22.03.2010 999 years from 1.1.2009,EGL571426,
13.05.2010 Edged and numbered 34 in blue on supplementary plan 1,Parking spaces 1&2 Landmark West Tower (basement level),22.03.2010 999 years from 1.1.2009,EGL571428,
14.05.2010 Edged and numbered 4 in blue (part of),Flat 1101 Landmark West Tower (eleventh floor flat),29.04.2010 999 years from 1.1.2009,EGL571483,
14.05.2010 Edged and numbered 4 in blue (part of),Flat 906 Landmark West Tower (ninth floor flat),19.02.2010 999 years from 1.1.2009,EGL571485,
14.05.2010 Edged and numbered 4 in blue (part of),Flat 905 Landmark West Tower (ninth floor flat),19.02.2010 999 years from 1.1.2009,EGL571486,
17.05.2010 Edged and numbered 4 in blue (part of),Flat 301 Landmark West Tower  (third floor flat),23.03.2010 999 years from 1.1.2009,EGL571566,
17.05.2010 Edged and numbered 4 in blue (part of),Flat 2402 Landmark West Tower (twenty third floor flat),30.04.2010 999 years from 1.1.2009,EGL571568,
18.05.2010 Edged and numbered 4 in blue (part of),Flat 1706 Landmark West Tower (seventeenth floor flat),02.03.2010 999 years from 1.1.2009,EGL571627,
18.05.2010 Edged and numbered 35 in blue on supplementary plan,Parking space 66 Landmark West Tower (basement level parking space),02.03.2010 999 years from 1.1.2009,EGL571628,
20.05.2010 Edged and numbered 4 in blue (part of),Flat 2102 Landmark West Tower (twenty first floor flat),01.04.2010 999 years from 1.1.2009,EGL571692,
21.05.2010 Edged and numbered 4 in blue (part of),Flat 303 Landmark West Tower (third floor flat),01.04.2010 999 years from 1.1.2009,EGL571760,
26.05.2010 Edged and numbered 4 in blue (part of ),Flat 710 Landmark West Tower (seventh floor flat),18.03.2010 999 years from 1.1.2009,EGL571889,
26.05.2010 Edged and numbered 4 in blue (part of),Flat 2310 Landmark West Tower (twenty third floor flat),15.03.2010 999 years from 1.1.2009,EGL571890,
26.05.2010 Edged and numbered 36 in blue on supplementary plan 1,Parking space 8 Landmark West Tower (basement level),15.03.2010 999 years from 1.1.2009,EGL571891,
02.06.2010 Edged and numbered 4 in blue (part of),Flat 1102 Landmark West Tower (eleventh floor flat),06.04.2010 999 years from 1.1.2009,EGL572185,
09.06.2010 Edged and numbered 4 in blue (part of),Flat 2405 Landmark West Tower (twenty fourth floor flat),16.04.2010 999 years from 1.1.2009,EGL572545,
09.06.2010 Edged and numbered 37 in blue on supplementary plan 1,Parking space 85 Landmark West Tower (basement level),16.04.2010 999 years from 1.1.2009,EGL572546,
25.06.2010 Edged and numbered 4 in blue (part of),Flat 903 Landmark West Tower (ninth floor flat),27.05.2010 999 years from 1.1.2009,EGL573302,
01.07.2010 Edged and numbered 4 in blue (part of),Flat 2307 Landmark West Tower (twenty third floor flat),17.05.2010 999 years from 1.1.2009,EGL573586,
01.07.2010 Edged and numbered 38 in blue on supplementary plan 1,Parking space 19 Landmark West Tower (basement level),17.05.2010 999 years from 1.1.2009,EGL573587,
02.07.2010 Edged and numbered 4 in blue (part of),Flat 405 Landmark West Tower (fourth floor flat),03.06.2010 999 years from 1.1.2009,EGL573591,
02.07.2010 Edged and numbered 4 in blue (part of),Flat 402 Landmark West Tower (fourth floor flat),03.06.2010 999 years from 1.1.2009,EGL573592,
02.07.2010 Edged and numbered 39 in blue on supplementary plan 1,Parking space 28 Landmark West Tower (basement level),03.06.2010 999 years from 1.1.2009,EGL573593,
02.07.2010 Edged and numbered 4 in blue (part of),Flat 2104 Landmark West Tower (twenty first floor flat),21.05.2010 999 years from 1.1.2009,EGL573594,
02.07.2010 Edged and numbered 4 in blue (part of),Flat 2810 Landmark West Tower (twenty eighth floor flat),21.05.2010 999 years from 1.1.2009,EGL573595,
02.07.2010 Edged and numbered 40 in blue on supplementary plan 1,Parking space 83 Landmark West Tower (basement level),21.05.2010 999 years from 1.1.2009,EGL573596,
08.07.2010 Edged and numbered 4 in blue (part of ),Flat 34 Landmark West Tower (third floor flat),23.04.2010 999 years from 1.1.2009,EGL573970,
09.07.2010 Edged and numbered 4 in blue (part of ),Flat 1310 Landmark West Tower (thirteenth floor flat),18.06.2010 999 years from 1.1.2009,EGL574002,
21.07.2010 Edged and numbered 4 in blue (part of),Flat 1207 Landmark West Tower (twelfth floor flat),15.06.2010 999 years from 1.1.2009,EGL574545,
02.08.2010 Edged and numbered 4 in blue (part of),Flat 2703 Landmark West Tower (twenty seventh floor flat),13.07.2010 999 years from 1.1.2009,EGL574987,
04.08.2010 Edged and numbered 4 in blue (part of),Flat 2707 Landmark West Tower (twenty seventh floor flat),23.07.2010 999 years from 1.1.2009,EGL575113,
05.08.2010 Edged and numbered 4 in blue (part of),Flat 404 Landmark West Tower (fourth floor flat),23.07.2010 999 years from 1.1.2009,EGL575162,
04.08.2010 Edged and numbered 4 in blue (part of),Flat 708 Landmark West Tower (seventh floor flat),23.07.2010 999 years from 1.1.2009,EGL575103,
17.08.2010 Edged and numbered 42 in blue on supplementary plan 1,Car Parking Space 56 (basement level),14.07.2010 999 years from 1.1.2009,EGL575605,
09.08.2010 Edged and numbered 4 in blue (part of),Flat 1211 Landmark West Tower (twelfth floor flat),26.07.2010 999 years from 1.1.2009,EGL575280,
09.08.2010 Edged and numbered 4 in blue (part of),Flat 510 Landmark West Tower (fifth floor flat),22.07.2010 999 years from 1.1.2009,EGL575281,
09.08.2010 Edged and numbered 4 in blue (part of),Flat 2101 Landmark West Tower (twenty first floor flat),09.07.2010 999 years from 1.1.2009,EGL575282,
09.08.2010 Edged and numbered 41 in blue on supplementary plan 1,Parking space 62 Landmark West Tower (basement level),09.07.2010 999 years from 1.1.2009,EGL575283,
10.08.2010 Edged and numbered 4 in blue (part of),Flat 202 Landmark West Tower (second floor flat),02.07.2010 999 years from 1.1.2009,EGL575338,
10.08.2010 Edged and numbered 4 in blue (part of),Flat 702 Landmark West Tower (seventh floor flat),09.07.2010 999 years from 1.1.2009,EGL575398,
11.08.2010 Edged and numbered 4 in blue (part of),Flat 505 Landmark West Tower (fifth floor flat),20.07.2010 999 years from 1.1.2009,EGL575401,
11.08.2010 Edged and numbered 4 in blue (part of),Flat 2503 Landmark West Tower (twenty fifth floor flat),23.07.2010 999 years from 1.1.2009,EGL575403,
12.08.2010 Edged and numbered 4 in blue (part of),Flat 2603 Landmark West Tower (twenty sixth floor flat),07.07.2010 999 years from 1.1.2009,EGL575455,
13.08.2010 Edged and numbered 4 in blue (part of),Flat 2504 Landmark West Tower (twenty fifth floor flat),21.06.2010 999 years from 1.1.2009,EGL575509,
13.08.2010 Edged and numbered 4 in blue (part of),Flat 204 Landmark West Tower (second floor flat),08.06.2010 999 years from 1.1.2009,EGL575528,
17.08.2010 Edged and numbered 4 in blue (part of),Flat 2904 Landmark West Tower (twenty ninth floor flat),14.07.2010 999 years from 1.1.2009,EGL575604,
17.08.2010 Edged and numbered 4 in blue (part of),Flat 2201 Landmark West Tower (twenty second floor flat),23.07.2010 999 years from 1.1.2009,EGL575606,
17.08.2010 Edged and numbered 43 in blue on supplementary plan 1,Car Parking Space 100 (basement level),23.07.2010 999 years from 1.1.2009,EGL575607,
19.08.2010 Edged and numbered 4 in blue (part of),Flat 2703 Landmark West Tower (twenty seventh floor flat),23.07.2010 999 years from 1.1.2009,EGL575682,
19.08.2010 Edged and numbered 44 in blue on supplementary plan 1,Car Parking Space 95 (basement level),23.07.2010 999 years from 1.1.2009,EGL575683,
19.08.2010 Edged and numbered 4 in blue (part of),Flat 2806 Landmark West Tower (twenty eighth floor flat),03.06.2010 999 years from 1.1.2009,EGL575684,
19.08.2010 Edged and numbered 45 in blue on supplementary plan 1,Car Parking Space 106 (basement level),03.06.2010 999 years from 1.1.2009,EGL575685,
20.08.2010 Edged and numbered 4 in blue (part of),Flat 2709 Landmark West Tower (twenty seventh floor flat),28.07.2010 999 years from 1.1.2009,EGL575742,
20.08.2010 Edged and numbered 4 on blue (part of) dated 21 Janua,Flat 2401 Landmark West Tower (twenty fourth floor flat) 2015.,28.07.2010 999 years from 1.1.2009,EGL575743,See
20.08.2010 Edged and numbered 4 in blue (part of) dated 10 Febru,Flat 1803 Landmark West Tower (eighteenth floor flat) y 2012.,08.07.2010 999 years from 1.1.2009,EGL575744,See
20.08.2010 Edged and numbered 4 in blue (part of),Flat 2708 Landmark West Tower (twenty seventh floor flat),28.07.2010 999 years from 1.1.2009,EGL575750,
20.08.2010 Edged and numbered 4 in blue (part of),Flat 2205 Landmark West Tower (twenty second floor flat),23.07.2010 999 years from 1.1.2009,EGL575778,
23.08.2010 Edged and numbered 4 in blue (part of),Flat 2608 Landmark West Tower (twenty sixth floor flat),28.07.2010 999 years from 1.1.2009,EGL575780,
23.08.2010 Edged and numbered 4 in blue (part of),Flat 205 Landmark West Tower (second floor flat),26.07.2010 999 years from 1.1.2009,EGL575781,
24.08.2010 Edged and numbered 4 in blue (part of ),Flat 1005 Landmark West Tower (tenth floor flat),19.07.2010 999 years from 1.1.2009,EGL575844,
24.08.2010 Edged and numbered 46 in blue on supplementary plan 1,Car Parking Space 67 (basement level),19.07.2010 999 years from 1.1.2009,EGL575845,
24.08.2010 Edged and numbered 4 in blue (part of),Flat 2410 Landmark West Tower (twenty fourth floor flat),02.07.2010 999 years from 1.1.2009,EGL575846,
25.08.2010 Edged and numbered 4 in blue (part of),Flat 806 Landmark West Tower (eighth floor flat),30.07.2010 999 years from 1.1.2009,EGL575890,
25.08.2010 Edged and numbered 4 in blue (part of),Flat 410 Landmark West Tower (fourth floor flat),23.07.2010 999 years from 1.1.2009,EGL575891,
25.08.2010 Edged and numbered 4 in blue (part of),Flat 2203 Landmark West Tower (twenty second floor flat),26.07.2010 999 years from 1.1.2009,EGL575892,
25.08.2010 Edged and numbered 4 in blue (part of),Flat 1006 Landmark West Tower (tenth floor flat),30.07.2010 999 years from 1.1.2009,EGL575902,
26.08.2010 Edged and numbered 4 in blue (part of),Flat 2107 Landmark West Tower (twenty first floor flat),30.07.2010 999 years from 1.1.2009,EGL575949,
26.08.2010 Edged and numbered 4 in blue (part of),Flat 2607 Landmark West Tower (twenty sixth floor flat),29.07.2010 999 years from 1.1.2009,EGL575950,
26.08.2010 Edged and numbered 4 in blue (part of),Flat 2705 Landmark West Tower (twenty seventh floor flat),30.07.2010 999 years from 1.1.2009,EGL575953,
26.08.2010 Edged and numbered 4 in blue (part of),Flat 2408 Landmark West Tower (twenty seventh floor flat),29.07.2010 999 years from 1.1.2009,EGL575954,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 309 Landmark West Tower (third floor flat),03.08.2010 999 years from 1.1.2009,EGL576035,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 305 Landmark West Tower (third floor flat),30.07.2010 999 years from 1.1.2009,EGL576037,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 804 Landmark West Tower (eighth floor flat),22.07.2010 999 years from 1.1.2009,EGL576038,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 601 Landmark West Tower (sixth floor flat),26.07.2010 999 years from 1.1.2009,EGL576039,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 1210 Landmark West Tower (twelfth floor flat),08.07.2010 999 years from 1.1.2009,EGL576041,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 1707 Landmark West Tower (seventeenth floor flat),30.07.2010 999 years from 1.1.2009,EGL576042,
27.08.2010 Edged and numbered 4 in blue (part of),Flat 2509 Landmark West Tower (twenty fifth floor flat),28.07.2010 999 years from 1.1.2009,EGL576044,
31.08.2010 Edged and numbered 4 in blue (part of),Flat 306 Landmark West Tower (third floor flat),13.08.2010 999 years from 1.1.2009,EGL576098,
31.08.2010 Edged and numbered 4 in blue (part of) dated 20 Augus,Flat 1303 Landmark West Tower (thirteenth floor flat) 2013.,30.06.2010 999 years from 1.1.2009,EGL576129,See
01.09.2010 Edged and numbered 48 in blue on supplementary plan 1,Car Parking Space 107 (basement level),13.08.2010 999 years from 1.1.2009,EGL576155,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 2508 Landmark West Tower (twenty fifth floor flat),23.07.2010 999 years from 1.1.2009,EGL576163,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 2108 Landmark West Tower (twenty first floor flat),23.07.2010 999 years from 1.1.2009,EGL576164,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 1302 Landmark West Tower (thirteenth floor flat),30.06.2010 999 years from 1.1.2009,EGL576167,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 2802 Landmark West Tower (twenty eighth floor flat),20.07.2010 999 years from 1.1.2009,EGL576168,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 2403 Landmark West Tower (twenty fourth floor flat),28.07.2010 999 years from 1.1.2009,EGL576170,
01.09.2010 Edged and numbered 4 in blue (part of),Flat 611 Landmark West Tower (sixth floor flat),23.07.2009 999 years from 1.1.2009,EGL576172,
02.09.2010 Edged and numbered 4 in blue (part of ),Flat 2309 Landmark West Tower (twenty third floor flat),01.07.2010 999 years from 1.1.2009,EGL576208,
06.09.2010 Edged and numbered 49 in blue on supplementary plan 1,Car Parking Space 92 (basement level),29.06.2010 999 years from 1.1.2009,EGL576366,
07.09.2010 Edged and numbered 4 in blue (part of),Flat 2502 Landmark West Tower (twenty fifth floor flat),28.07.2010 999 years from 1.1.2009,EGL576394,
07.09.2010 Edged and numbered 4 in blue (part of),Flat 507 Landmark West Tower (fifth floor flat),23.07.2010 999 years from 1.1.2009,EGL576395,
07.09.2010 Edged and numbered 4 in blue (part of),Flat 504 Landmark West Tower (fifth floor flat),23.07.2010 999 years from 1.1.2009,EGL576396,
08.09.2010 Edged and numbered 4 in blue (part of),Flat 1807 Landmark West Tower (eighteenth floor flat),23.07.2010 999 years from 1.1.2009,EGL576436,
08.09.2010 Edged and numbered 4 in blue (part of),Flat 703 Landmark West Tower (seventh floor flat),28.07.2010 999 years from 1.1.2009,EGL576438,
08.09.2010 Edged and numbered 4 in blue (part of),Flat 608 Landmark West Tower (sixth floor flat),30.07.2010 999 years from 1.1.2009,EGL576440,
08.09.2010 Edged and numbered 4 in blue (part of),Flat 1011 Landmark West Tower  (tenth floor flat),23.07.2010 999 years from 1.1.2009,EGL576442,
13.09.2010 Edged and numbered 4 in blue (part of),Flat 2507 Landmark West Tower (twenty fifth floor flat),21.07.2010 999 years from 1.1.2009,EGL576606,
14.09.2010 Edged and numbered 4 in blue (part of),Flat 1804 Landmark West Tower (eighteenth floor flat),29.07.2010 999 years from 1.1.2009,EGL576642,
14.09.2010 Edged and numbered 4 in blue (part of),Flat 2109 Landmark West Tower (twenty first floor flat),23.07.2010 999 years from 1.1.2009,EGL576643,
15.09.2010 Edged and numbered 50 in blue on supplementary plan 1,Car Parking Space 98 (basement level),21.06.2010 999 years from 1.1.2009,EGL576734,
20.09.2010 Edged and numbered 4 in blue (part of),Flat 607 Landmark West Tower (sixth floor flat),15.07.2010 999 years from 1.1.2009,EGL576840,
03.09.2010 Edged and numbered 4 in blue (part of),Flat 606 Landmark West Tower (sixth floor flat),30.07.2010 999 years from 1.1.2009,EGL576280,
22.09.2010 Edged and numbered 4 in blue (part of),Flat 2704 Landmark West Tower (twenty seventh floor flat),09.07.2010 999 years from 1.1.2009,EGL576943,
29.09.2010 Edged and numbered 5 in blue (part of),Flat 1102 Landmark East Tower (eleventh floor flat),20.09.2010 999 years from 1.1.2009,EGL577181,
30.09.2010 Edged and numbered 5 in blue (part of),Flat 2302 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,EGL577239,
30.09.2010 Edged and numbered 5 in blue (part of),Flat 2303 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,EGL577241,
04.10.2010 Edged and numbered 4 in blue (part of),Flat 2706 Landmark West Tower (twenty seventh floor flat),11.06.2010 999 years from 1.1.2009,AGL219051,
04.10.2010 51 in blue on supplementary plan 1,Parking space 47 (basement level),11.06.2010 999 years from 1.1.2009,AGL219052,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2109 Landmark East Tower (twenty first floor flat),07.09.2010 999 years 1.1.2009,AGL219124,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2306 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219125,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2307 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219126,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2308 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219129,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2309 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219130,
28.09.2010 Edged and numbered 5 in blue (part of),Flat 2310 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219131,
05.10.2010 Edged and numbered 5 in blue (part of),Flat 2101 Landmark East Tower (twenty first floor flat),01.09.2010 999 years from 1.1.2009,AGL219136,
05.10.2010 52 in blue on supplementary plan 1,Parking space 190 (basement level),11.06.2010 999 years from 1.1.2009,AGL219137,
06.10.2010 53 in blue on supplementary plan 1,Parking space 17 (basement level),01.09.2010 999 years from 1.1.2009,AGL219205,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 1610 Landmark East Tower (sixteenth floor flat),01.09.2010 999 years from 1.1.2009,AGL219206,
06.10.2010 Edged and numbered 4 in blue (part of),Flat 2302 Landmark West Tower (twenty third floor flat),23.07.2010 999 years from 1.1.2009,AGL219214,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 1808 Landmark East Tower (eighteenth floor flat),17.08.2010 999 years from 1.1.2009,AGL219215,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 601 Landmark East Tower (sixth floor flat),18.08.2010 999 years from 1.1.2009,AGL219216,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 1807 Landmark East Tower (eighteenth floor flat),17.08.2010 999 years from 1.1.2009,AGL219217,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 1001 Landmark East Tower (tenth floor flat),17.08.2010 999 years from 1.1.2009,AGL219219,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 2305 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219222,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 2304 Landmark East Tower (twenty third floor flat),03.09.2010 999 years from 1.1.2009,AGL219224,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 2108 Landmark East Tower (twenty first floor flat),03.09.2010 999 years from 1.1.2009,AGL219226,
06.10.2010 Edged and numbered 5 in blue (part of),Flat 2301 Landmark East Tower (twenty third floor flat),06.09.2010 999 years from 1.1.2009,AGL219227,
06.10.2010 54 in blue on supplementary plan 1,Parking space 157 (basement level),06.09.2010 999 years from 1.1.2009,AGL219228,
07.10.2010 Edged and numbered 4 in blue (part of),Flat 610 Landmark West Tower (sixth floor flat),08.07.2010 999 years from 1.1.2009,AGL219304,
07.10.2010 Edged and numbered 5 in blue (part of),Flat 2105 Landmark East Tower (twenty first floor flat),03.09.2010 999 years from 1.1.2009,AGL219305,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 1306 Landmark East Tower (thirteenth floor flat),21.09.2010 999 years from 1.1.2009,AGL219450,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 802 Landmark East Tower (eighth floor flat),27.08.2010 999 years from 1.1.2009,AGL219502,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 1602 Landmark East Tower (sixteenth floor flat),27.08.2010 999 years from 1.1.2009,AGL219503,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 1802 Landmark East Tower (eighteenth floor flat),27.08.2010 999 years from 1.1.2009,AGL219504,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 302 Landmark East Tower (third floor flat),27.08.2010 999 years from 1.1.2009,AGL219505,
11.10.2010 Edged and numbered 5 in blue (part of ),Flat 310 Landmark East Tower (third floor flat),27.08.2010 999 years from 1.1.2009,AGL219506,
12.10.2010 Edged and numbered 4 in blue (part of),Flat 706 Landmark West Tower (seventh floor flat),30.07.2010 999 years from 1.1.2009,AGL219567,
11.10.2010 Edged and numbered 5 in blue (part of),Flat 202 Landmark East Tower (second floor flat),27.08.2010 999 years from 1.1.2009,AGL219507,
12.10.2010 Edged and numbered 4 in blue (part of),Flat 503 Landmark West Tower (fifth floor flat),30.07.2010 999 years from 1.1.2009,AGL219568,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2102 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219569,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2103 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219573,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2104 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219575,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2106 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219576,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2107 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219578,
12.10.2010 Edged and numbered 5 in blue (part of),Flat 2110 Landmark East Tower (twenty first floor flat),06.09.2010 999 years from 1.1.2009,AGL219579,
13.10.2010 Edged and numbered 5 in blue (part of),Flat 810 Landmark East Tower (eighth floor flat),17.08.2010 999 years from 1.1.2009,AGL219639,
14.10.2010 Edged and numbered 5 in blue (part of),Flat 1111 Landmark East Tower (eleventh floor flat),30.09.2010 999 years from 1.1.2009,AGL219711,
14.10.2010 Edged an numbered 5 in blue (part of),Flat 1107 Landmark East Tower (eleventh floor flat),01.10.2010 999 years from 1.1.2009,AGL219712,
15.10.2010 61 in blue on supplementary plan 1,Parking space 156 Landmark East Tower (basement level),01.10.2010 999 years from 1.1.2009,AGL219782,
15.10.2010 Edged and numbered 5 in blue (part of),Flat 2601 Landmark East Tower (twenty sixth floor flat),01.10.2010 999 years from 1.1.2009,AGL219783,
15.10.2010 Edged and numbered 5 in blue (part of),Flat 1609 Landmark East Tower (sixteenth floor flat),16.09.2010 999 years from 1.1.2009,AGL219856,
19.10.2010 Edged and numbered 4 in blue (part of),Flat 602 Landmark West Tower (sixth floor flat),23.07.2010 999 years from 1.1.2009,AGL220007,
19.10.2010 Edged and numbered 5 in blue (part of),Flat 2508 Landmark East Tower (twenty fifth floor flat),17.08.2010 999 years from 1.1.2009,AGL220019,
20.10.2010 Edged and numbered 5 in blue (part of),Flat 1409 Landmark East Tower (fourteenth floor flat),01.10.2010 999 years from 1.1.2009,AGL220103,
20.10.2010 Edged and numbered 5 in blue (part of),Flat 701 Landmark East Tower (seventh floor flat),17.08.2010 999 years from 1.1.2009,AGL220170,
20.10.2010 Edged and numbered 5 in blue (part of),Flat 311 Landmark East Tower (third floor flat),18.08.2010 999 years from 1.1.2009,AGL220177,
20.10.2010 Edged and numbered 5 in blue (part of),Flat 1510 Landmark East Tower (fifteenth floor flat),17.09.2010 999 years from 1.1.2009,AGL220182,
20.10.2010 96 in blue on supplementary plan 1,Parking space 111 Landmark East Tower (basement level),17.09.2010 999 years from 1.1.2009,AGL220189,
21.10.2010 Edged and numbered 5 in blue (part of),Flat 801 Landmark East Tower (eighth floor flat),17.08.2010 999 years from 1.1.2009,AGL220209,
21.10.2010 Edged and numbered 5 in blue (part of),Flat 2401 Landmark East Tower (twenty fourth floor flat),12.10.2010 999 years from 1.1.2009,AGL220217,
21.10.2010 55 in blue on supplementary plan 1,Parking space 155 Landmark East Tower (basement level),12.10.2010 999 years from 1.1.2009,AGL220220,
22.10.2010 Edged and numbered 5 in blue (part of),Flat 901 Landmark East Tower (ninth floor flat),17.08.2010 999 years from 1.1.2009,AGL220360,
22.10.2010 Edged and numbered 5 in blue (part of),Flat 811 Landmark East Tower (eighth floor flat),17.10.2010 999 years from 1.1.2009,AGL220363,
25.10.2010 Edged and numbered 5 in blue (part of),Flat 2509 Landmark East Tower (twenty fifth floor flat),17.08.2010 999 years from 1.1.2009,AGL220479,
25.10.2010 Edged and numbered 5 in blue (part of),Flat 2609 Landmark East Tower (twenty sixth floor flat),30.09.2010 999 years from 1.1.2009,AGL220480,
25.10.2010 Edged and numbered 5 in blue (part of),Flat 1502 Landmark East Tower (fifteenth floor flat),13.10.2010 999 years from 1.1.2009,AGL220482,
27.10.2010 Edged and numbered 5 in blue (part of),Flat 1207 Landmark East Tower (twelfth floor flat),28.09.2010 999 years from 1.1.2009,AGL220591,
25.10.2010 56 in blue on supplementary plan 1,Parking space 160 Landmark East Tower (basement level),13.10.2010 999 years from 1.1.2009,AGL220486,
19.10.2010 57 in blue on supplementary plan 1,Parking space 113 Landmark East Tower (basement level),01.10.2010 999 years from 1.1.2009,AGL220519,
27.10.2010 Edged and numbered 5 in blue (part of),Flat 1806 Landmark East Tower (eighteenth floor flat),21.10.2010 999 years from 1.1.2009,AGL220577,
