Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
11.02.2011Edged andnumbered 5 inblue (part of),Flat 3510 Landmark EastTower (thirty fifth floorflat),10.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227481,
17.02.2011Edged andnumbered 5 inblue (part of),Flat 1103 Landmark EastTower (eleventh floor flat),19.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227810,
17.02.2011100 in blue onsupplementaryplan,Parking space 33 (basementlevel),19.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227810,
21.02.2011Edged andnumbered 5 inblue (part of),Flat 1303 Landmark EastTower (thirteenth floorflat),21.02.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227923,
21.02.2011Edged andnumbered 5 inblue (part of),Flat 3603 Landmark EastTower (thirty sixth floorflat),07.02.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227926,
21.02.2011101 in blue onsupplementaryplan,Parking space 195 (basementlevel),07.02.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227938,
21.02.2011Edged andnumbered 5 inblue (part of),Flat 1903 Landmark EastTower (nineteenth floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL227979,
22.02.2011Edged andnumbered 5 inblue (part of),Flat 3209 Landmark EastTower (thirty second floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228000,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 578 578  dated 2 May 201 4.   578 0
22.02.2011Edged andnumbered 5 inblue (part of),Flat 3508 Landmark EastTower (thirty fifth floorflat),14.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228008,
22.02.2011102 in blue onsupplementaryplan,Parking space 35 (basementlevel),14.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228008,
22.02.2011Edged andnumbered 5 inblue (part of),Flat 1104 Landmark EastTower (eleventh floor flat),18.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228060,
22.02.2011Edged andnumbered 5 inblue (part of),Flat 1706 Landmark EastTower (seventeenth floorflat),18.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228060,
22.02.2011Edged andnumbered 5 inblue (part of),Flat 1209 Landmark EastTower (twelfth floor flat),24.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228068,
22.02.2011Edged andnumbered 5 inblue (part of),Flat 1601 Landmark EastTower (sixteenth floorflat),14.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228099,
23.02.2011Edged andnumbered 5 inblue (part of),Flat 1902 Landmark EastTower (nineteenth floorflat),18.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228155,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 3805 Landmark EastTower (thirty eighth floorflat),19.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228209,
24.02.2011104 in blue onsupplementaryplan,Parking space 126 (basementlevel),19.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228209,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 902 Landmark EastTower (ninth floor flat),19.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228212,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 3202 Landmark EastTower (thirty second floorflat),21.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228234,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 2501 Landmark EastTower (twenty fifth floorflat),18.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228242,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 3206 Landmark EastTower (thirty second floorflat),24.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228244,
24.02.2011105 in blue onthesupplementaryplan,Parking space 168 (basementlevel),24.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228244,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 3009 Landmark EastTower (thirtieth floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228253,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 1208 Landmark EastTower (twelfth floor flat),17.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228266,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 2702 Landmark EastTower (twenty seventh floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228271,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 1506 Landmark EastTower (fifteenth floorflat),18.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228256,
24.02.2011Edged andnumbered 5 inblue (part of),Flat 2904 Landmark EastTower (twenty ninth floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228278,
25.02.2011Edged andnumbered 5 inblue (part of),4209 Landmark East Tower(forty second floor flat),21.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228286,
25.02.2011Edged andnumbered 5 inblue (part of),Flat 1202 Landmark EastTower (twelfth floor flat),21.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228303,
28.02.2011Edged andnumbered 5 inblue (part of),Flat 3404 Landmark EastTower (thirty fourth floorflat),20.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228383,
28.02.2011Edged andnumbered 5 inblue (part of),Flat 2505 Landmark EastTower (twenty fifth floorflat),11.02.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL228409,
13.12.2010Edged andnumbered 5 inblue (part of),Flat 2708 Landmark EastTower (twenty seventh floorflat),17.11.2010999 years from1.1.2009,EGL575750,
28.02.2011Edged and999 yearsnumbered 5 inblue (part of),Flat 3602 Landmark EastTower (thirty sixth floorflat),18.01.2011from andincluding1.1.2009 untiland including,AGL228416,
28.02.2011Edged andnumbered 5 inblue (part of),Flat 1501 Landmark EastTower (fifteenth floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228426,
01.03.2011Edged andnumbered 5 inblue (part of),Flat 4202 Landmark EastTower (forty second floorflat),19.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228457,
02.03.2011Edged andnumbered 5 inblue (part of),Flat 3801 Landmark EastTower (thirty eighth floorflat),23.11.2010999 years fromand including1.1.2009 untiland including31.12.3007,AGL228571,
07.03.2011Edged andnumbered 5 inblue (part of),Flat 2703 Landmark EastTower (twenty seventh floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228805,
08.03.2011Edged andnumbered 5 inblue (part of),Flat 4008 Landmark EastTower (fortieth floor flat),25.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228878,
08.03.2011Edged andnumbered 5 inblue (part of),Flat 1704 Landmark EastTower (seventeenth floorflat),08.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228901,
08.02.2011106 in blue onthesupplementaryplan,Parking space 42 (basementlevel),28.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228935,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 209 Landmark EastTower (second floor flat),28.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228982,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 1507 Landmark EastTower (fifteenth floorflat),10.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228954,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 3306 Landmark EastTower (thirty third floorflat),28.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228984,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 4205 Landmark EastTower (forty second floorflat),31.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228998,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 401 Landmark EastTower (fourth floor flat),25.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228992,
09.03.2011107 in blue onthesupplementaryplan,Parking space 129 (basementlevel),31.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228998,
09.03.2011Edged andnumbered 5 inblue (part of),Flat 4208 Landmark EastTower (forty second floorflat),31.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229000,
10.03.2011Edged andnumbered 5 inblue (part of),Flat 510 Landmark EastTower (fifth floor flat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229047,
15.03.2011Edged andnumbered 5 inblue (part of),Flat 2607 Landmark EastTower (twenty sixth floorflat),01.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229314,
28.02.2011108 in blue onthesupplementaryplan,Parking space 130 (basementlevel),28.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229354,NOTE: Copy file d under AGL229337   620 620
16.03.2011Edged andnumbered 5 inblue (part of),Flat 3004 Landmark EastTower (thirtieth floorflat),28.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229354,NOTE: See entry in the Charges Register rel ating to a Deed o f variation 621 621  dated 25 Januar y 2019   621 0
16.03.2011Edged andnumbered 5 inblue (part of),Flat 1407 Landmark EastTower (fourteenth floorflat),07.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229368,
16.03.2011Edged andnumbered 5 inblue (part of),Flat 3102 Landmark EastTower (thirty first floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229373,
17.03.2011109 in blue onthesupplementaryplan,Parking space 41 (basementlevel),25.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229459,
17.03.2011Edged andnumbered 5 inblue (part of),Flat 4207 Landmark EastTower (forty second floorflat),25.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL229459,
17.03.2011Edged andnumbered 5 inblue (part of),Flat 2908 Landmark EastTower (twenty ninth floorflat),22.12.2010999 years fromand including1.1.2009 untiland including31.12.3007,AGL229492,
28.03.2011Edged andnumbered 5 inblue (part of),Flat 3704 Landmark EastTower (thirty seventh floorflat),11.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230006,
28.03.2011110 and 111 inblue on thesupplementaryplan,Parking spaces 192 and 193(basement level),28.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230006,
01.04.2011Edged andnumbered 5 inblue (part of),Flat 1205 Landmark EastTower (twelfth floor flat),11.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230376,
07.04.2011Edged andnumbered 5 inblue (part of),Flat 3601 Landmark EastTower (thirty sixth floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230740,
07.04.2011Edged andnumbered 5 inblue (part of),Flat 4001 Landmark EastTower (fortieth floor flat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230756,
07.04.2011112 in blue onthesupplementaryplan,Parking space 167 (basementlevel),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230756,
08.04.2011Edged andnumbered 5 inblue (part of),Flat 4201 Landmark EastTower (forty second floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230808,
08.04.2011Edged andnumbered 5 inblue (part of),Flat 2806 Landmark EastTower (twenty eighth floorflat),19.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230837,
11.04.2011Edged andnumbered 5 inblue (part of),Flat 1009 Landmark EastTower (tenth floor flat),25.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL230917,
12.04.2011Edged andnumbered 4 inblue (part of),Flat 1708 Landmark WestTower (seventeenth floorflat),22.11.2010999 years fromand including1.1.2009 untiland including31.12.3007,AGL230980,
14.04.2011Edged andnumbered 5 inblue (part of),Flat 3810 Landmark EastTower (thirty eighth floorflat),31.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231178,
14.04.2011113 in blue onthesupplementaryplan,Parking space 144 (basementlevel),31.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231200,
18.04.2011Edged andnumbered 5 inblue (part of),Flat 4109 Landmark EastTower (forty first floorflat),18.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231248,
18.04.2011114 in blue onthesupplementaryplan,Parking space 164 (basementlevel),31.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231248,
21.04.2011Edged andnumbered 5 inblue (part of),Flat 4007 Landmark EastTower (fortieth floor flat),23.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231628,
27.04.2011Edged andnumbered 5 inblue (part of),Flat 609 Landmark EastTower (sixth floor flat),15.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231765,
28.04.2011Edged andnumbered 5 inblue (part of),Flat 2707 Landmark EastTower (twenty seventh floorflat),31.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231820,
28.04.2011Edged andnumbered 5 inblue (part of),Flat 909 Landmark EastTower (ninth floor flat),28.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231839,
28.04.2011Edged andnumbered 5 inblue (part of),Flat 1907 Landmark EastTower (nineteenth floorflat),21.01.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231857,
03.05.2011Edged andnumbered 5 inblue (part of),Flat 702 Landmark EastTower (seventh floor flat),29.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231887,
03.05.2011Edged andnumbered 5 inblue (part of),Flat 4009 Landmark EastTower (fortieth floor flat),08.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231918,
03.05.2011Edged andnumbered 5 inblue (part of),Flat 2507 Landmark EastTower (twenty fifth floorflat),31.03.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL231910,
09.05.2011Edged andnumbered 5 inblue (part of),Flat 1408 Landmark EastTower (fourteenth floorflat),18.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232235,
09.05.2011Edged andnumbered 5 inblue (part of),Flat 2903 Landmark EastTower (twenty ninth floorflat),15.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232253,
09.05.2011Edged andnumbered 5 inblue (part of),Flat 1309 Landmark EastTower (thirteenth floorflat),08.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232261,
12.05.2011Edged andnumbered 5 inblue (part of),Flat 1302 Landmark EastTower (thirteenth floorflat),21.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232484,
13.04.2011Edged andnumbered 5 inblue (part of),Flat 2402 Landmark EastTower (twenty fourth floorflat),13.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232561,
13.05.2011Edged andnumbered 5 inblue (part of),Flat 3302 Landmark EastTower (thirty third floorflat),12.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232580,
13.05.2011115 in blue onthesupplementaryplan,Parking space 46 (basementlevel),12.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232580,
13.05.2011Edged andnumbered 5 inblue (part of),Flat 4202 Landmark EastTower (forty second floorflat),15.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232625,
13.05.2011116 in blue onthesupplementaryplan,Parking space 101 (basementlevel),15.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232625,
16.05.2011Edged andnumbered 5 inblue (part of),Flat 3809 Landmark EastTower (thirty eighth floorflat),08.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232662,
18.05.2011Edged andnumbered 4 inblue (part of),Flat 3004 Landmark WestTower (thirtieth floorflat),12.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232820,
18.05.2011117 and 118 inblue on thesupplementaryplan,Parking space 51 and 52(basement level),12.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232820,
19.05.2011Edged andnumbered 5 inblue (part of),Flat 2005 Landmark EastTower (twentieth floorflat),04.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL232884,
26.05.2011Edged andnumbered 5 inblue (part of),Flat 1709 Landmark EastTower (seventeenth floorflat),10.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233265,
01.06.2011Edged andnumbered 5 inblue (part of),Flat 2404 Landmark EastTower (twenty fourth floorflat),20.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233491,
01.06.2011Edged andnumbered 5 inblue (part of),Flat 2807 Landmark EastTower (thirty eighth floorflat),07.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233516,
02.06.2011Edged andnumbered 5 inblue (part of),Flat 709 Landmark EastTower (seventh floor flat),20.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233553,
03.06.2011Edged andnumbered 5 inblue (part of),Flat 2208 Landmark EastTower (twenty second floorflat),18.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233635,
03.06.2011Edged andnumbered 5 inblue (part of),Flat 1901 Landmark EastTower (nineteenth floorflat),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233652,
03.06.2011119 in blue onthesupplementaryplan,Parking space 131 (basementlevel),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233652,
03.06.2011Edged andnumbered 5 inblue (part of),Flat 3501 Landmark EastTower (thirty fifth floorflat),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233671,
03.06.2011120 in blue onthesupplementaryplan,Parking space 146 (basementlevel),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233671,
03.06.2011Edged andnumbered 4 inblue (part of),Flat 2901 Landmark WestTower (twenty ninth floorflat),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233683,
03.06.2011121 and 122 inblue on thesupplementaryplan,Parking spaces 49 and 50(basement level),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233683,
07.06.2011Edged andnumbered 5 inblue (part of),Flat 4104 Landmark EastTower (forty first floorflat),05.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL233902,
10.06.2011Edged andnumbered 5 inblue (part of),Flat 1402 Landmark EastTower (fourteenth floorflat),31.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL234196,
10.06.2011Edged andnumbered 5 inblue (part of),Flat 3701 Landmark EastTower (thirty seventh floorflat),04.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL234251,
10.06.2011123 in blue onthesupplementaryplan,Parking space 141 (basementlevel),04.04.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL234251,
13.06.2011Edged andnumbered 5 inblue (part of),Flat 602 Landmark EastTower (sixth floor flat),20.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL234275,
13.06.2011Edged andnumbered 5 inblue (part of),Flat 2801 Landmark EastTower (twenty eighth floorflat),20.05.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL234299,
